iso3,variable,abs_shap,sign,iso2,policy,shap_value,shap_value_normalized
HND,Public information campaigns,0.0004674874753805,1,HN,public_information_campaigns,0.0004674874753805,0.46001754053910715
HUN,Public information campaigns,0.0004615917238159,1,HU,public_information_campaigns,0.0004615917238159,0.46019210361027746
DZA,Public information campaigns,0.0004594811457442,1,DZ,public_information_campaigns,0.0004594811457442,0.4602545941996627
NGA,Public information campaigns,0.0004569531599108,1,NG,public_information_campaigns,0.0004569531599108,0.46032944351549937
CZE,Public information campaigns,0.0004326740603513,1,CZ,public_information_campaigns,0.0004326740603513,0.4610483059264944
JAM,Public information campaigns,0.0004311456793806,1,JM,public_information_campaigns,0.0004311456793806,0.46109355866030455
UKR,Public information campaigns,0.0004231061920464,1,UA,public_information_campaigns,0.0004231061920464,0.46133159406330876
SLV,Public information campaigns,0.0003957599285636,1,SV,public_information_campaigns,0.0003957599285636,0.46214126992673094
PRT,Public information campaigns,0.0003851298555951,1,PT,public_information_campaigns,0.0003851298555951,0.46245600811809023
SUR,Public information campaigns,0.0003753126473331,1,SR,public_information_campaigns,0.0003753126473331,0.4627466787825095
KEN,Public information campaigns,0.0003648182493213,1,KE,public_information_campaigns,0.0003648182493213,0.46305739987157696
PER,Public information campaigns,0.0003648018297214,1,PE,public_information_campaigns,0.0003648018297214,0.4630578860277106
MYS,Public information campaigns,0.0003546172177673,1,MY,public_information_campaigns,0.0003546172177673,0.46335943488401937
CHE,Public information campaigns,0.0003536056007841,1,CH,public_information_campaigns,0.0003536056007841,0.46338938712428945
ROU,Public information campaigns,0.0003498670267683,1,RO,public_information_campaigns,0.0003498670267683,0.4635000798756452
CAN,Public information campaigns,0.0003359945587832,1,CA,public_information_campaigns,0.0003359945587832,0.46391081981094556
MNG,Public information campaigns,0.0003295085307021,1,MN,public_information_campaigns,0.0003295085307021,0.46410285995529826
JPN,Public information campaigns,0.0003294610483492,1,JP,public_information_campaigns,0.0003294610483492,0.4641042658261627
ITA,Public information campaigns,0.0003239242253276,1,IT,public_information_campaigns,0.0003239242253276,0.4642682016400427
MOZ,Public information campaigns,0.0003204765994145,1,MZ,public_information_campaigns,0.0003204765994145,0.4643702799181117
ISL,Public information campaigns,0.0003184902839611,1,IS,public_information_campaigns,0.0003184902839611,0.4644290913049315
GTM,Public information campaigns,0.000308068032775,1,GT,public_information_campaigns,0.000308068032775,0.46473767625048407
KAZ,Public information campaigns,0.00029678305941,1,KZ,public_information_campaigns,0.00029678305941,0.4650718049170476
PAK,Public information campaigns,0.0002954099829727,1,PK,public_information_campaigns,0.0002954099829727,0.4651124593505359
IRL,Public information campaigns,0.0002936141530544,1,IE,public_information_campaigns,0.0002936141530544,0.4651656307880368
BOL,Public information campaigns,0.0002915635180911,1,BO,public_information_campaigns,0.0002915635180911,0.4652263465650028
BOL,Public information campaigns,0.0002915635180911,1,BO,public_information_campaigns,0.0002915635180911,0.4652263465650028
ARG,Public information campaigns,0.0002860931989857,1,AR,public_information_campaigns,0.0002860931989857,0.46538831331222014
IDN,Public information campaigns,0.0002853050392058,1,ID,public_information_campaigns,0.0002853050392058,0.4654116493687423
SVK,Public information campaigns,0.0002820740920478,1,SK,public_information_campaigns,0.0002820740920478,0.465507312161265
MCO,Public information campaigns,0.0002750454939322,1,MC,public_information_campaigns,0.0002750454939322,0.4657154168718583
PAN,Public information campaigns,0.0002732314778996,1,PA,public_information_campaigns,0.0002732314778996,0.46576912676894827
BGD,Public information campaigns,0.0002671109014509,1,BD,public_information_campaigns,0.0002671109014509,0.4659503465185444
UGA,Public information campaigns,0.0002561227768445,1,UG,public_information_campaigns,0.0002561227768445,0.4662756860035411
SLE,Public information campaigns,0.0002512486863116,1,SL,public_information_campaigns,0.0002512486863116,0.4664199994474273
CRI,Public information campaigns,0.000243933571406,1,CR,public_information_campaigns,0.000243933571406,0.4666365874277541
AUS,Public information campaigns,0.0002404029324585,1,AU,public_information_campaigns,0.0002404029324585,0.4667411235791024
POL,Public information campaigns,0.0002296247053177,1,PL,public_information_campaigns,0.0002296247053177,0.46706024836088017
NZL,Public information campaigns,0.0002286614349081,1,NZ,public_information_campaigns,0.0002286614349081,0.4670887691421962
DNK,Public information campaigns,0.0002153205439163,1,DK,public_information_campaigns,0.0002153205439163,0.46748376999631297
FIN,Public information campaigns,0.0002142036240873,1,FI,public_information_campaigns,0.0002142036240873,0.46751684007286975
SVN,Public information campaigns,0.0002069255355703,1,SI,public_information_campaigns,0.0002069255355703,0.46773233176546497
TUN,Public information campaigns,0.0002025663429862,1,TN,public_information_campaigns,0.0002025663429862,0.46786139996601
FRA,Public information campaigns,0.0002013927937494,1,FR,public_information_campaigns,0.0002013927937494,0.46789614674200636
LVA,Public information campaigns,0.0001943680684643,1,LV,public_information_campaigns,0.0001943680684643,0.46810413678474455
ZAF,Public information campaigns,0.0001889929845862,1,ZA,public_information_campaigns,0.0001889929845862,0.4682632837805564
BGR,Public information campaigns,0.0001826688306733,1,BG,public_information_campaigns,0.0001826688306733,0.46845053110899165
HRV,Public information campaigns,0.0001548582089029,1,HR,public_information_campaigns,0.0001548582089029,0.4692739558232463
GBR,Public information campaigns,0.0001450893928272,1,GB,public_information_campaigns,0.0001450893928272,0.4695631936781979
MMR,Public information campaigns,0.0001331879705149,1,MM,public_information_campaigns,0.0001331879705149,0.46991557433863884
MMR,Public information campaigns,0.0001331879705149,1,MM,public_information_campaigns,0.0001331879705149,0.46991557433863884
MLT,Public information campaigns,0.0001268593957533,1,MT,public_information_campaigns,0.0001268593957533,0.47010295256080625
BHR,Public information campaigns,-0.0001169870397062,-1,BH,public_information_campaigns,-0.0001169870397062,0.4773228264312262
ARE,Public information campaigns,-0.000117490309241,-1,AE,public_information_campaigns,-0.000117490309241,0.4773377273772139
USA,Public information campaigns,-0.0001228450039965,-1,US,public_information_campaigns,-0.0001228450039965,0.47749627068614714
SEN,Public information campaigns,-0.0001282391798069,-1,SN,public_information_campaigns,-0.0001282391798069,0.4776559829612623
LBN,Public information campaigns,-0.0001469284994976,-1,LB,public_information_campaigns,-0.0001469284994976,0.47820934159714534
CHN,Public information campaigns,-0.0001506764225848,-1,CN,public_information_campaigns,-0.0001506764225848,0.47832031115843754
MAR,Public information campaigns,-0.0001576740019124,-1,MA,public_information_campaigns,-0.0001576740019124,0.47852749745602824
MEX,Public information campaigns,-0.0001668182649818,-1,MX,public_information_campaigns,-0.0001668182649818,0.47879824336984317
EST,Public information campaigns,-0.0001685233952164,-1,EE,public_information_campaigns,-0.0001685233952164,0.47884872934558964
VEN,Public information campaigns,-0.00017205022371,-1,VE,public_information_campaigns,-0.00017205022371,0.4789531526759467
VEN,Public information campaigns,-0.00017205022371,-1,VE,public_information_campaigns,-0.00017205022371,0.4789531526759467
GIN,Public information campaigns,-0.000179079917307,-1,GN,public_information_campaigns,-0.000179079917307,0.4791612898218615
ECU,Public information campaigns,-0.0002110873910091,-1,EC,public_information_campaigns,-0.0002110873910091,0.4801089761089482
DEU,Public information campaigns,-0.0002199369703179,-1,DE,public_information_campaigns,-0.0002199369703179,0.4803709969430663
GRC,Public information campaigns,-0.0002252239217927,-1,GR,public_information_campaigns,-0.0002252239217927,0.4805275344898841
SWE,Public information campaigns,-0.0002288928993827,-1,SE,public_information_campaigns,-0.0002288928993827,0.4806361666106829
BHS,Public information campaigns,-0.0002317208215542,-1,BS,public_information_campaigns,-0.0002317208215542,0.480719896526009
TUR,Public information campaigns,-0.0002395662192825,-1,TR,public_information_campaigns,-0.0002395662192825,0.48095218526935213
LUX,Public information campaigns,-0.0002544829639337,-1,LU,public_information_campaigns,-0.0002544829639337,0.4813938444420031
URY,Public information campaigns,-0.0002677459276052,-1,UY,public_information_campaigns,-0.0002677459276052,0.48178653800209453
LKA,Public information campaigns,-0.0002756109803814,-1,LK,public_information_campaigns,-0.0002756109803814,0.48201940869762616
ESP,Public information campaigns,-0.0002814396780638,-1,ES,public_information_campaigns,-0.0002814396780638,0.4821919864185858
VNM,Public information campaigns,-0.0002838096627889,-1,VN,public_information_campaigns,-0.0002838096627889,0.4822621575931523
VNM,Public information campaigns,-0.0002838096627889,-1,VN,public_information_campaigns,-0.0002838096627889,0.4822621575931523
CHL,Public information campaigns,-0.0002851408258602,-1,CL,public_information_campaigns,-0.0002851408258602,0.4823015710439072
ISR,Public information campaigns,-0.0002964715953381,-1,IL,public_information_campaigns,-0.0002964715953381,0.4826370556546668
NLD,Public information campaigns,-0.0002992194409768,-1,NL,public_information_campaigns,-0.0002992194409768,0.4827184146414792
SRB,Public information campaigns,-0.0003005375488035,-1,RS,public_information_campaigns,-0.0003005375488035,0.4827574415488787
CYP,Public information campaigns,-0.0003008569262351,-1,CY,public_information_campaigns,-0.0003008569262351,0.4827668977657345
JOR,Public information campaigns,-0.0003017880113978,-1,JO,public_information_campaigns,-0.0003017880113978,0.4827944655972045
SAU,Public information campaigns,-0.0003108530586387,-1,SA,public_information_campaigns,-0.0003108530586387,0.4830628660664809
SYC,Public information campaigns,-0.0003167107489109,-1,SC,public_information_campaigns,-0.0003167107489109,0.48323630220819674
RWA,Public information campaigns,-0.0003172615052853,-1,RW,public_information_campaigns,-0.0003172615052853,0.48325260915789237
CHN,International travel controls,-0.0003451402700161,-1,CN,international_travel_controls,-0.0003451402700161,0.4840780514680914
AUT,Public information campaigns,-0.0003472921336588,-1,AT,public_information_campaigns,-0.0003472921336588,0.48414176445227897
QAT,Public information campaigns,-0.0003859153493974,-1,QA,public_information_campaigns,-0.0003859153493974,0.48528533149100667
ALB,Public information campaigns,-0.0003899438945863,-1,AL,public_information_campaigns,-0.0003899438945863,0.4854046097904427
EGY,Public information campaigns,-0.0004254908223771,-1,EG,public_information_campaigns,-0.0004254908223771,0.48645709323005865
KOR,Public information campaigns,-0.0004354114698563,-1,KR,public_information_campaigns,-0.0004354114698563,0.4867508265519247
KOR,Public information campaigns,-0.0004354114698563,-1,KR,public_information_campaigns,-0.0004354114698563,0.4867508265519247
USA,International travel controls,-0.0004367622581002,-1,US,international_travel_controls,-0.0004367622581002,0.4867908210703118
BRA,Public information campaigns,-0.0004456559808128,-1,BR,public_information_campaigns,-0.0004456559808128,0.4870541489147498
PHL,Public information campaigns,-0.0004548320804828,-1,PH,public_information_campaigns,-0.0004548320804828,0.48732583745559305
SEN,International travel controls,-0.0004574020448629,-1,SN,international_travel_controls,-0.0004574020448629,0.4874019296840516
BEL,Public information campaigns,-0.0004799231328935,-1,BE,public_information_campaigns,-0.0004799231328935,0.4880687403950597
PRY,Public information campaigns,-0.0004865064294852,-1,PY,public_information_campaigns,-0.0004865064294852,0.4882636604928421
CHE,International travel controls,-0.000495404034895,-1,CH,international_travel_controls,-0.000495404034895,0.4885271032972714
FRA,International travel controls,-0.0005059316994815,-1,FR,international_travel_controls,-0.0005059316994815,0.4888388093524425
CIV,Public information campaigns,-0.00053755025905,-1,CI,public_information_campaigns,-0.00053755025905,0.48977498056043556
CIV,Public information campaigns,-0.00053755025905,-1,CI,public_information_campaigns,-0.00053755025905,0.48977498056043556
NAM,Public information campaigns,-0.0005567829454404,-1,,public_information_campaigns,-0.0005567829454404,0.49034442735044653
KWT,Public information campaigns,-0.0005725119731906,-1,KW,public_information_campaigns,-0.0005725119731906,0.4908101368296389
EGY,Workplace closing,-0.0005786701778966,-1,EG,workplace_closing,-0.0005786701778966,0.4909924706872644
BRB,Public information campaigns,-0.0006042071471558,-1,BB,public_information_campaigns,-0.0006042071471558,0.491748576458246
NPL,Public information campaigns,-0.0006428011715363,-1,NP,public_information_campaigns,-0.0006428011715363,0.49289127919102965
SMR,Public information campaigns,-0.0006865520383127,-1,SM,public_information_campaigns,-0.0006865520383127,0.4941866671644151
GHA,Public information campaigns,-0.0006986190560008,-1,GH,public_information_campaigns,-0.0006986190560008,0.49454395081933517
CRI,Stay at home requirements,-0.000701685309439,-1,CR,stay_at_home_requirements,-0.000701685309439,0.4946347373138633
ISL,International travel controls,-0.000734030574842,-1,IS,international_travel_controls,-0.000734030574842,0.4955924250326723
USA,Stay at home requirements,-0.0007701768336814,-1,US,stay_at_home_requirements,-0.0007701768336814,0.4966626536346047
CRI,Cancel public events,-0.0008413205833751,-1,CR,cancel_public_events,-0.0008413205833751,0.49876909779274603
HND,Cancel public events,-0.000880498607173,-1,HN,cancel_public_events,-0.000880498607173,0.49992909174459577
SUR,Cancel public events,-0.0009445869210968,-1,SR,cancel_public_events,-0.0009445869210968,0.5018266365753241
BHR,Workplace closing,-0.0009547761788015,-1,BH,workplace_closing,-0.0009547761788015,0.5021283229843237
BLZ,Cancel public events,-0.0009723397971966,-1,BZ,cancel_public_events,-0.0009723397971966,0.5026483515395161
LTU,Restrictions on internal movement,-0.0009768859396692,-1,LT,restrictions_on_internal_movement,-0.0009768859396692,0.5027829550049606
MAR,International travel controls,-0.0009841439923629,-1,MA,international_travel_controls,-0.0009841439923629,0.5029978534712622
CHN,Cancel public events,-0.0009958539675006,-1,CN,cancel_public_events,-0.0009958539675006,0.5033445657098916
NLD,International travel controls,-0.0010058080581489,-1,NL,international_travel_controls,-0.0010058080581489,0.503639289226518
MLT,International travel controls,-0.0010153409712992,-1,MT,international_travel_controls,-0.0010153409712992,0.5039215424012801
GRC,International travel controls,-0.0010310588107693,-1,GR,international_travel_controls,-0.0010310588107693,0.5043869206147273
ALB,Cancel public events,-0.001037552991302,-1,AL,cancel_public_events,-0.001037552991302,0.5045792021391609
DOM,Public information campaigns,-0.0010442648945428,-1,DO,public_information_campaigns,-0.0010442648945428,0.5047779300587949
USA,School closing,-0.0010456638877357,-1,US,school_closing,-0.0010456638877357,0.504819351842875
ESP,Restrictions on internal movement,-0.001073508633814,-1,ES,restrictions_on_internal_movement,-0.001073508633814,0.5056437869192392
SUR,Workplace closing,-0.0010928683575403,-1,SR,workplace_closing,-0.0010928683575403,0.5062169950664351
POL,International travel controls,-0.0010975538000189,-1,PL,international_travel_controls,-0.0010975538000189,0.5063557229656511
ARE,Restrictions on internal movement,-0.0011390311559861,-1,AE,restrictions_on_internal_movement,-0.0011390311559861,0.5075837961913162
